date,time,weekday,location_id,location_name,gym_people_num,gym_max_people_num,sw_people_num,sw_max_people_num
2026-08-12,06:27,Wednesday,ZSSC,中山,10,50,27,150
2026-08-12,13:12,Wednesday,BTSC,北投,12,60,262,200
2026-08-12,13:12,Wednesday,DASC,大安,31,80,69,250
2026-08-12,13:12,Wednesday,DTSC,大同,38,80,23,250
2026-08-12,13:12,Wednesday,JJSC,中正,74,150,73,200
2026-08-12,13:12,Wednesday,NGSC,南港,0,0,0,0
2026-08-12,13:12,Wednesday,NHSC,內湖,51,130,49,200
2026-08-12,13:12,Wednesday,SLSC,士林,28,100,71,200
2026-08-12,13:12,Wednesday,SSSC,松山,42,100,79,400
2026-08-12,13:12,Wednesday,WHSC,萬華,21,150,40,100
2026-08-12,13:12,Wednesday,WSSC,文山,21,110,36,200
2026-08-12,13:12,Wednesday,XYSC,信義,0,65,0,165
2026-08-12,13:12,Wednesday,ZSSC,中山,16,50,36,150
2026-08-12,17:40,Wednesday,BTSC,北投,19,60,380,200
2026-08-12,17:40,Wednesday,DASC,大安,33,80,60,250
2026-08-12,17:40,Wednesday,DTSC,大同,51,80,0,250
2026-08-12,17:40,Wednesday,JJSC,中正,138,150,71,200
2026-08-12,17:40,Wednesday,NGSC,南港,0,0,0,0
2026-08-12,17:40,Wednesday,NHSC,內湖,68,130,6,200
2026-08-12,17:40,Wednesday,SLSC,士林,47,100,66,200
2026-08-12,17:40,Wednesday,SSSC,松山,51,100,113,400
2026-08-12,17:40,Wednesday,WHSC,萬華,40,150,55,100
2026-08-12,17:40,Wednesday,WSSC,文山,46,110,45,200
2026-08-12,17:40,Wednesday,XYSC,信義,0,65,0,165
2026-08-12,17:40,Wednesday,ZSSC,中山,36,50,62,150
2026-08-12,20:04,Wednesday,BTSC,北投,35,60,427,200
2026-08-12,20:04,Wednesday,DASC,大安,38,80,95,250
2026-08-12,20:04,Wednesday,DTSC,大同,65,80,76,250
2026-08-12,20:04,Wednesday,JJSC,中正,124,150,56,200
2026-08-12,20:04,Wednesday,NGSC,南港,0,0,0,0
2026-08-12,20:04,Wednesday,NHSC,內湖,98,130,69,200
2026-08-12,20:04,Wednesday,SLSC,士林,54,100,89,200
2026-08-12,20:04,Wednesday,SSSC,松山,85,100,186,400
2026-08-12,20:04,Wednesday,WHSC,萬華,80,150,64,100
2026-08-12,20:04,Wednesday,WSSC,文山,49,110,67,200
2026-08-12,20:04,Wednesday,XYSC,信義,0,65,0,165
